Name,Meal Type,Serving,Prep Time,Cook Time,Ingredients,Intructions,Energi_kj,Lemak_g,Protein_g,Karbohidrat_g,Kalori_kkal,Lemak Jenuh_g,Lemak Trans_g,Lemak tak Jenuh Ganda_g,Lemak tak Jenuh Tunggal_g,Kolesterol_mg,Serat_g,Gula_g,Sodium_mg,Kalium_mg
Bolu Pisang Kukus,['Makanan Ringan'],10 porsi,50 menit,30 menit,"['2 besar telur', '120 gram tepung gandum', '1/2 sdt ekstrak vanila', '1 sdt baking soda', '440 g pisang ambon', '4 g sweetener', '50 g margarine']","['Kupas pisang , lumatkan hingga halus lalu sisahkan.', 'Kocok telur dan gula hanya sampai larut saja. Tidak usah terlalu lama.', 'Campurkan pisang yg sudah dilumatkan kedalam adonan telur dan gula. Aduk hingga tercampur rata.', 'Ayak tepung, baking soda dan vanili. Masukan kedalan adonan. Aduk hingga tercampur rata.', 'Masukan margarin keadonan, aduk hingga rata.', 'Siapkan loyang. Olesi dengan margarin secara merata.', 'Kukus dengan api sedang selama 30 menit.', 'Setelah 30 menit cek meggunakan tusuk gigi. Kalau tidak ada yg menempal berati sudah matang dengan sempurna.']",576 kj,"5,37g","3,47g","20,56g",138 kkal,"2,702g",0g,"0,23g","0,409g",42mg,11g,"0,15g",193mg,225mg
Hot Choco,['Minuman'],1 porsi,5 menit,5 menit,"['281 g low fat high calcium French vanilla', '1 bedak wangi stevia sweetener', '750 ml air mineral', '37,5 g cocoa powder']","['Didihkan susu, air matang selama 3 menit.', 'Tuang bubuk coklat di mug.', 'Tuang air dan susu yang hangat ke dalam mug.', 'Aduk bersama gula stevia.', 'Nikmati!']",1205 kj,"8,12g","16,25g","41,75g",288 kkal,5g,0g,0,0,6mg,"16,2g","21,25g",138mg,462mg
Yellow Smoothies,"['Minuman', 'Makan Pagi']",2 porsi,20 menit,10 menit,"['100 gram mangga', '150 gram buah pir', '50 gram mentimun (dengan kulit)', '130 gram air']","['Masukkan semua bahan ke dalam blender.', 'Tambahkan air lalu Blender semua bahan sampai halus.', 'Siap disajikan.']",335 kj,"0,26g","0,7g",21g,80 kkal,"0,046g",0,"0,06g","0,071g",0mg,"3,3g","15,17g",4mg,204mg
Capcay Ayam Kuah tanpa Minyak,['Hidangan Utama'],2 porsi,10 menit,15 menit,"['80 gram dada ayam (kulit tidak dimakan)', '10 gram tomat', '1 sdt garam', '1/2 sdm saus tiram', '40 gram wortel', '40 gram kembang kol', '1 siung bawang putih', '40 gram sawi putih', '10 gram bawang bombay', '40 gram sawi hijau', '1,5 g kaldu rasa jamur']","['Cuci sayuran dan ayam.', 'Geprak bawang putih hingga halus.', 'Tumis bawang putih dan bombay dan wortel di teflon  tanpa minyak.', 'Masukan air secukupnya,.', 'Jika sudah mendidih masukan bumbu sesuai selera (garam,saus tiram,kaldu jamur).', 'Masukan ayam masak hingga matang,.', 'Masukan sayuran.', 'Koreksi rasa , selesai.']",381 kj,"1,6g","13,65g","5,52g",91 kkal,"0,426g",0g,"0,384g","0,508g",34mg,"1,4g","1,98g",1660mg,322mg
Telur Kukus,"['Lauk Pauk', 'Makan Pagi', 'Makan Siang']",1 porsi,15 menit,45 menit,"['63 gram daging sapi', '1 1/2 besar putih telur', '12 gram buncis', '29 gram wortel', '11 gram daun bawang']","['Iris cincang wortel, daun bawang, serta buncis. Sisihkan.', 'Kocok putih telur dengan pengocok telur hingga berbusa.', 'Masukan wortel, daun bawang, buncis yang telah diiris cincang serta daging sapi yang dipotong kecil-kecil ke dalam kocokan putih telur. Tambahkan garam, merica, dan penyedap. Aduk hingga rata.', 'Masukan adonan ke dalam wadah anti panas, lalu kukus selama 30 menit.', 'Setelah 30 menit angkat lalu tiriskan.']",962 kj,"12,5g","22,64g","5,56g",230 kkal,"4,889g",0g,"0,505g","5,267g",55mg,"1,4g","2,27g",347mg,417mg
Bubur Oatmeal Asin,['Makan Pagi'],1 porsi,5 menit,15 menit,"['1 irisan tipis ayam', '1/2 besar telur rebus', '1/4 mangkok jamur dimasak (lemak tidak ditambahkan dalam masakan)', '1/2 sdt garam', '1/2 sdm seledri', '1 sdm, cincang daun bawang (loncang)', '1/4 sosis ayam', '0,5 g royco ayam', '35 g instant oatmeal grain', '0,75 g lada putih bubuk']","['Nyalakan kompor.', 'Masukkan oatmeal ke teflon dan tambahkan air panas, aduk jangan sampai terlalu encer.', 'Tambahkan garam, lada, daun bawang, dan penyedap rasa, aduk.', 'Hias bubur dengan topping.', 'Koreksi rasa, jika sudah pas, tuang ke mangkuk.', 'Tambahkan air lagi sedikit demi sedikit sambil diaduk sampai tekstur seperti bubur.', 'Selamat menikmati.']",933 kj,"7,99g","12,26g","27,49g",223 kkal,"1,785g","0,02g","1,825g","2,647g",118mg,"4,2g","1,34g",1549mg,228mg
Kekian Udang,"['Lauk Pauk', 'Makanan Ringan', 'Makan Siang']",31 porsi,10 menit,15 menit,"['640 gram udang', '1 sedang telur', '123 gram wortel', '21 gram bawang putih', '30 gram daun bawang (loncang)', '60 g tepung tapioka', '75 g kembang tahu']","['Haluskan udang.', 'Haluskan bawang putih garam dan merica.', 'Parut wortel dan iris kecil-kecil daun bawang.', 'Masukkan wortel daun bawang telur dan bumbu halus kedalam udang yang telah dihaluskan.', 'Aduk sampai rata kemudian masukkan tepung tapioka.', 'Taruh di dalam kulit tahu yang telah di rendam air.', 'Kukus kurang lebih 10 menit.']",194 kj,"1,05g","7,19g","1,93g",46 kkal,"0,158g","0,002g","0,214g","0,126g",49mg,"0,1g","0,51g",132mg,56mg
Cah Sayur,"['Hidangan Utama', 'Makan Siang']",1 porsi,10 menit,6 menit,"['1 sdt garam', '71 gram daging dada ayam (ayam pedaging)', '50 gram buncis', '25 gram brokoli', '24 gram wortel', '2 gelas air', '24 gram jagung kecil/tunas jagung', '15 g saus bumbu rasa tiram', '100 gram kentang rebus', '15 gram sawi hijau', '1.5 g kaldu rasa jamur']","['Tumis bawput dan cabe.', 'Masukan air, ayam dan kentang.', 'Campur semua bahan jadi.', 'Tambahkan bumbu perasa.', 'Sajikan selagi hangat.']",1004 kj,"1,46g","20,94g","36,44g",240 kkal,"0,333g","0,02g","0,438g","0,295g",41mg,"5,5g","7,1g",2833mg,905mg
Spaghetti Aglio Olio Bandeng tanpa Minyak,"['Hidangan Utama', 'Makan Siang']",1 porsi,20 menit,15 menit,"['1 sdm cabai merah atau rawit', '1 sdt garam', '30 gram brokoli', '1 utuh sedang tomat merah', '100 gram ikan bandeng', '1 kecil bawang merah', '60 g spaghetti', '40 gram bawang bombay', '1,5 g kaldu rasa jamur']","['Rebus spaghetti wholemeal selama 10 menit.', 'Haluskan tomat dan bawang merah bisa di uleg atau di blender beri sedikit air.', 'Panaskan telflon anti lengket, masukan bawang bombai sangrai sampai harum (tanpa minyak).', 'Setelah itu masukan bumbu yg sudah di haluskan.', 'Tambahkan bandeng suwir, irisan cabai, brokoli, garam, dan kaldu jamur.', 'Kemudian masukan spaghetti wholemeal yg sudah di rebus dan beri sedikit seledri, aduk sampai rata.']",1933 kj,"9,1g","31,09g","65,74g",462 kkal,"1,93g",0,"2,528g","2,817g",52mg,"7,2g","8,92g",2783mg,942mg
Tumis Sawi Putih,['Salad dan Salad Dressing'],1 porsi,5 menit,5 menit,"['1/4 sedang paprika merah manis', '1 sdt garam', '1/4 sedang paprika hijau', '55 gram sawi putih', '1 sdm minyak kanola', '30 g jamur kuping', '3 g lada putih bubuk', '20 gram bawang bombay']","['Potong-potong semua bahan termasuk sawi dan jamur kuping.', 'Panaskan minyak.', 'Masukan bawang Bombay dan paprika.', 'Tumis hingga wangi.', 'Masukan jamur.', 'Masukan sawi putih.', 'Masak hingga matang.']",682 kj,"13,43g","2,47g","8,6g",163 kkal,"1,04g",0g,"3,576g","8,008g",0mg,"1,4g","2,78g",2334mg,190mg
Cah Brokoli Ayam,"['Lauk Pauk', 'Makan Siang']",3 porsi,5 menit,10 menit,"['200 gram dada ayam', '1 sdt garam', '1 sdm saus tiram', '100 gram brokoli', '20 gram wortel', '2 siung bawang putih', '150 ml air', '1 sdm minyak goreng', '3 g lada putih bubuk']","['Haluskan bawang putih dan lada.', 'Panaskan minyak.', 'Tumis bumbu sampai harum.', 'Masukkan ayam tumis sampai matang.', 'Tambahkan air matang secukupnya.', 'Masukkan brokoli.', 'Tambahkan garam.', 'Pindahkan ke piring saat sudah matang.']",767 kj,"8,64g","20,91g","4,84g",183 kkal,"2,801g",0g,"2,46g","2,346g",55mg,"1,1g","0,89g",1218mg,300mg
Nasi Goreng Tapi Bohong,"['Hidangan Utama', 'Makan Siang']",1 porsi,10 menit,20 menit,"['25 gram kecambah', '25 gram buncis', '25 gram wortel', '2 siung bawang putih', '50 ml air', '1/2 sdt garam laut', '1 kecil bawang merah', '35 g quick cooking oatmeal', '15 g saus tiram', '2 g royco ayam', '1 sendok makan minyak goreng']","['Sangrai oatmeal sampai berubah warna kecoklatan.', 'Tambahkan air sedikit demi sedikit, sisihkan.', 'Tumis bawang bombay dan bawang putih hingga harum, lalu tambahkan tauge wortel, tumis hingga layu. Tambahkan garam, penyedap rasa & saus tiram.', 'Masukkan oatmeal yg sudah disangrai tadi.', 'Tumis sebentar hingga tercampur rata. Test rasa, sajikan.']",1218 kj,"12,34g","6,81g","40,05g",291 kkal,"4,553g",0g,"1,168g","1,532g",0mg,"6,2g","5,01g",2157mg,284mg
Mini Pancakes,['Makan Pagi'],1 porsi,5 menit,20 menit,"['1 sedang telur', '1/2 buah kiwi', '120 gram pisang', '1 gram biji wijen kering utuh', '1/2 sdm madu', '30 g oats']","['Blender oat, pisang, telur, bp sampai halus.', 'Panggang adonan sedikit-sedikit (pakai sendok teh) pada teflon anti lengket tanpa menambahkan minyak/margarin. Gunakan api kecil.', 'Balik adonan saat timbul gelembung pada pancake.', 'Sajikan dengan toping madu, wijen, dan buah.']",1477 kj,"8,04g","10,92g","62,77g",353 kkal,"2,009g",0,"1,015g","1,92g",186mg,"4,3g","27,06g",64mg,618mg
Steak Tempe,"['Makan Siang', 'Hidangan Utama']",4 porsi,10 menit,20 menit,"['1 mangkok, irisan cooked carrots', '2 sdm tomato catsup', '2 sdm salt', '1 mangkok  chayote (fruit)', '4 siung garlic', '1 mangkok, dicincang onions', '30 ml bottled water', '100 gram tempeh (cooked)', '1 sdm saus sambal', '100 g saus tiram', '3 g lada putih bubuk', '10 g tepung maizena']","['Potong tempe, lalu kukus hingga matang.', 'Haluskan bawang putih hingga halus lalu tambahkan tempe kukus lalu haluskan. Tambahkan tepung terigu, garam dan merica, aduk hingga merata, lalu bentuk adonan bulat pipih.', 'Panaskan pan, tambahkan margarin dan minyak zaitun, lalu grill tempe sampai matang, jgn sering2 dibolak balik agar tdk hancur, masak jg pinggirannya.', 'Saus: lelehkan margarin, lalu tumis bawang bombay sampai layu kmudian masukkan bawang putih tumis sampai harum, lalu masukkan semua bahan saus dan lada, lalu tambahkan air, cek rasa, terakhir masukkan larutan maizena, aduk2 hingga mengental, sajikan.']",564 kj,"3,96g","6,21g","29,52g",135 kkal,"1,053g",0g,"1,016g","1,366g",0mg,"2,4g","6,57g",4470mg,326mg
Shirataki Tomato Soup,"['Sup', 'Makan Siang']",3 porsi,5 menit,15 menit,"['2 chicken nugget', '1 sedang telur', '1 mangkok, segar sawi dimasak (dari segar)', '200 gram tomat', '1 sdt garam', '1 sdm saus teriyaki', '50 gram buncis', '50 gram wortel', '5 siung bawang putih', '5 iris daun bawang', '3 gelas air', '1/2 sdm minyak goreng', '1 sdm kecap manis', '200 g mie basah matang', '2 g royco ayam']","['Panaskan minyak ½ sendok masukkan nugget yg dipotong dadu.', 'Masukkan batang sawi, wortel dan buncis tambahkan air 250ml.', 'Sisihkan tumisan ke pinggir wajan lalu masukkan telur, beri garam dan orak arik  bersama sayur.', 'Masukkan irisan tomat, sawi, tambahkan air 500ml masukkan mie shirataki.', 'Tambahkan royko/kaldu ayam, garam, irisan cabe, saus teriyaki dan kecap.', 'Diamkan hingga mendidih.', 'Ready to serving.']",681 kj,"6,37g","6,29g","21,74g",163 kkal,"1,777g",0g,"1,902g","2,021g",68mg,"6,1g","8,68g",1550mg,395mg
Steak Tempe,['Makan Siang'],1 porsi,20 menit,40 menit,"['1 sedang wortel dimasak', '1 sdt garam', '60 gram buncis', '2 siung bawang putih', '1 1/2 kentang (daging, tanpa garam, direbus)', '50 ml air', '200 gram tempe', '2 sdm minyak goreng', '1 1/2 sdm kecap manis', '3 sdm saus sambal', '3 g lada putih bubuk']","['Kukus tempe, wortel, buncis, dan kentang selama 15. Setelah 15 menit angjat semua bahan.', 'Setelah tempe dikukus, ulek tempe lalu tambahkan 1.5 sdm kecap manis dan 1 sdt garam, lalu bentuk tempe menjadi bulat, lalu panggang steak tempe dengan sedikit minyak sampai steak tempe berubah warna kecoklatan, lalu angkat dan siapkan di piring yang sudah ditata dengan buncis, wortel, dan kentang yang tadi sudah di kukus.', 'Untuk bumbunya cincang 2 sium bawang putih, lalu tumis dengan sedikit minyak, lalu masukkan 3 sdm saus sambal abc, tambahkan 50 ml air dan 1 sdt lada bubuk putih. Saus siap untuk di hidangkan di atas steak tempe.']",4151 kj,"43,64g","43,39g","113,09g",992 kkal,"12,936g",0g,"16,245g","8,643g",0mg,"7,5g","37,75g",4138mg,1878mg
Capcay,"['Sup', 'Makan Siang']",1 porsi,5 menit,10 menit,"['1 besar telur', '1 sdm cabai merah atau rawit', '1 mangkok, dicincang sawi', '3 siung bawang putih', '2 kecil bawang merah', '1 sdm kecap manis', '50 g sosis sapi', '9 g saus sambal']","['Tumis bawang putih, bawang merah, dan cabai hingga harum.', 'Tuang air secukupnya tunggu sampai mendidih.', 'Masukkan sawi, sosis, dan telur.', 'Tambahkan garam, lada, kecap secukupnya.', 'Tunggu hingga matang.']",1519 kj,"12,39g","17,07g","47,46g",363 kkal,"1,887g",0g,"1,307g","2,095g",212mg,"4,9g","21,28g",1144mg,473mg
Sohun Goreng,['Hidangan Utama'],2 porsi,5 menit,15 menit,"['100 gram dada ayam', '120 gram tomat', '240 gram kecambah', '80 gram sawi', '110 gram mentimun (dengan kulit)', '18 gram bawang putih', '50 gram sohun', '60 gram tempe', '40 gram bawang merah', '1 sdm minyak goreng', '10 g bumbu racik nasi goreng']","['Rendam sohun dngn air panas 5 menit kemudian tiriskan.', 'Iris bawang merah dan bawang putih. Kemudian potong dadu dada ayam dan tempe.', 'Tumis bawang merah dan bawang putih sebentar. Kemudian masukkan dada ayam dan tempe.', 'Masukkan toge dan sawi aduk2. Jngan lupa bumbu nasi goreng instannya ya\nTerakhir masukkan sohun nya tumis hingga matang.', 'Sajikan dengan irisan mentimun dan tomat.']",1638 kj,"13,1g","27,31g","44,58g",392 kkal,"3,908g",0g,"4,516g","3,004g",42mg,"5,7g","7,84g",912mg,732mg
Acar Timun Nanas,['Salad dan Salad Dressing'],3 porsi,10 menit,5 menit,"['50 gram jeruk nipis', '1 sdm cabai merah atau rawit', '1 sdt garam', '100 gram nanas', '50 gram wortel', '1 mentimun (dengan kulit)', '1 sedang paprika hijau', '20 gram gula pasir', '2 sedang bawang merah']","['Potong dadu mentimun, buang tengah-tengahnya, begitu juga dengan nenas dan wortel.', 'Iris tipis bawang merah dan cabe rawit dan cabe hijau.', 'Campurkan semua bahan, tambahkan air jeruk nipis, gula dan garam.', 'Siap di sajikan.']",471 kj,"0,66g","2,33g","28,13g",113 kkal,"0,146g",0g,"0,314g","0,082g",0mg,"4,1g","16,74g",793mg,467mg
Tumis Jamur Kacang Panjang,['Makan Siang'],3 porsi,15 menit,10 menit,"['100 gram kacang panjang hijau', '10 gram kaldu jamur', '5 sdm cabai merah atau rawit', '1 siung bawang putih', '1 sdm kecap manis', '100 g saus tiram', '50 gram bawang bombay', '100 gram jamur kancing']","['Tumis bawang putih , bawang bombay dan cabai rawit yang sudah di iris tipis.', 'Masukan jamur dan kacang panjang yang sudah di potong-potong.', 'Tambahkan kaldu jamur , saos tiram , garam , dan kecap sesuai selera.']",381 kj,"1,78g","3,39g","19,07g",91 kkal,"0,318g",0g,"0,825g","0,248g",0mg,"4,2g","6,97g",1096mg,381mg
Telur Sutera,['Makan Siang'],1 porsi,30 menit,15 menit,"['1 besar telur', '50 gram wortel dimasak', '1 besar putih telur', '1 sdm saus tiram', '1 potong jagung rebus', '1 siung bawang putih', '1 gram daun bawang', '10 gram bawang bombay']","['Kocok telur dengan irisan daun bawang, dengan menambahkan 100ml air. Masukkan garam dan merica sesuai selera. Lalu kukus.', 'Rebus jagung dan wortel, tumis bawang bombay dan bawang putih dengan 1 sendok olive oil.', 'Masukkan sayuran kedalam tumisan bawang, lalu tambahkan garam, merica dan 1 sendok saus tiram.', 'Yang terakhir koreksi rasa.']",816 kj,"6,81g","12,76g","22,75g",195 kkal,"1,869g",0,"1,317g","2,603g",212mg,"3,6g","5,02g",774mg,430mg
Manggo Sticky Oats,"['Makan Pagi', 'Makanan Penutup']",1 porsi,3 menit,5 menit,"['95 gram mango', '1/2 tsp sugar', '2 sejumput salt', '100 ml water', '50 ml water', '6 sdt fiber creme', '6 g tepung pati jagung', '20 g quick cook oatmeal']","['Kupas mangga terlebih dahulu lalu tata kedalam piring.', 'Selanjutnya masak oats dengan 200ml air, tambahkan garam secukupnya lalu masak hingga air menyusut. Taruh kedalam piring.', 'Setelah itu buat saus dengan memanaskan 50ml air, tambahkan 6 sdt fibercrem lalu aduk hingga merata.', 'Tambahkan sedikit garam dan 1/2 sdt gula, aduk kembali lalu tambahkan 1/2 sdm tepung maizena.', 'Aduk hingha rata dan mengental.', 'Siramkan diatas mangga dan oats yang telah di tata.', 'Selesai.']",1096 kj,"8,26g","2,82g","48,62g",262 kkal,"6,353g",0g,"0,618g","0,956g",0mg,"9,4g","16,03g",316mg,155mg
Spring Roll,['Salad dan Salad Dressing'],1 porsi,10 menit,10 menit,"['4 kecil udang kukus atau rebus', '1/4 besar telur goreng', '3 kecil rice paper', '1/2 besar utuh tomat', '1 sdm mayones', '50 gram wortel', '50 gram kembang kol', '50 gram selada daun hijau', '1/4 mangkok bihun (dimasak)', '1 sdm roasted sesame dressing']","['Siapkan bahan bahan isian.', 'Rendam beberapa detik rice paper dalam air hangat.', 'Bungkus semua bahan dalam rice paper.', 'Untuk dressing : Campur salad dressing toasted sesame (kewpie) dengan mayonais.', 'Spring roll siap disajikan.']",1389 kj,"12,7g","10,17g","43,24g",332 kkal,"2,414g",0g,"3,429g","2,206g",88mg,"5,1g","9,34g",567mg,684mg
Agar-agar Kukus Coklat,['Makanan Penutup'],4 porsi,5 menit,10 menit,"['1 besar telur (utuh)', '10 gram kacang sangrai kering (dengan garam)', '25 gram gula pasir', '7 g agar agar powder', '35 g white coffee less sugar', '9 g agarasa coklat']","['Kocok telur sampai mengembang.', 'Tuang bubuk agarasa, agar2putih dan bubuk kopi. Aduk rata.', 'Panaskan kukusan.', 'Masukkan kedalam cetakan tambahkan kacang secukupnya.', 'Kukus 10-15menit. Angkat.']",474 kj,"4,36g","2,42g","16,01g",113 kkal,"2,085g","0,075g","0,563g","1,092g",53mg,3g,"9,5g",58mg,33mg
Ayam Geprek Low Calori,['Hidangan Utama'],2 porsi,50 menit,30 menit,"['137 gram dada ayam', '1 sedang telur', '1 1/2 sdm cabai merah atau rawit', '1 sdm minyak sayur canola', '4 siung bawang putih', '40 g rolled oats']","['Iris tipis” dada ayam.', 'Baluri telur.', 'Blender rolled oat untuk jadi tepung.', 'Balurkan ayam dengan tepung rolled oat.', 'Goreng ayam pakai minyak canola 1 sdm.', 'Uleg cabai dan bawang putih sesuai selera.']",1377 kj,"16,74g","26,56g","18,1g",329 kkal,"3,152g",0g,"4,297g","7,88g",150mg,"3,4g","0,64g",313mg,300mg
Sup Daging Tahu,['Sup'],4 porsi,15 menit,20 menit,"['150 gram daging sapi', '1 sdt jinten', '1 sdt garam', '125 gram wortel', '100 gram jagung manis kuning', '3 siung bawang putih', '1 sdt jahe', '1 daun bawang', '700 ml air', '20 gram bawang merah', '2 sdm minyak goreng', '100 gram tahu', '230 g royco kaldu rasa sapi', '3 g lada putih bubuk', '150 gram kentang rebus', '60 gram bawang bombay']","['Daging sapi sebelumnya sudah direbus terlebih dahulu.', 'Halus lada, jintan, jahe, bawang putih dan bawang merah.', 'Tumis bumbu halus, tambahkan bawang Bombay yang sudah di potong-potong, setelah itu tambahkan air biarkan sampai mendidih.', 'Tambah semua bahan, test rasa.', 'Masak sampai mendidih.']",1125 kj,"14,19g","14,42g","22,49g",269 kkal,"5,136g",0g,"2,91g","4,428g",33mg,"3,1g","4,4g",892mg,546mg
Soto Ayam,"['Hidangan Utama', 'Lauk Pauk', 'Makan Siang']",6 porsi,25 menit,10 menit,"['178 gram dada ayam rebus (kulit tidak dimakan)', '200 gram kecambah', '2 gram ketumbar', '2 sdt kunyit', '1 sdt garam', '100 gram selada kol', '3 siung bawang putih', '1 sdt jahe', '1 mangkok daun bawang', '2 gram sereh', '2 gram kacang kemiri', '2 kecil bawang merah', '500 g mie basah matang', '1 sdm kecap manis', '2 g royco ayam', '3 g lada putih bubuk']","['Haluskan bawmer, bawput, jahe, kemiri, kunyit dan geprek laos dan sereh.', 'Tumis bumbu halus tadi bersama dgn laos dan sereh yg sudah di geprek dan tambah duan salam dan daun jeruk.', 'Setelah matang, masukan air dan air sisa rebusan ayam.', 'Rebus ayam , tauge, mie shirataki\nSecara terpisah.', 'Setelah air mendidih , masukan bumbu spt garam, lada bubuk, royko dan kecap manis 1sdm\nSetelah di rasa pas, matikan api kompor.', 'Siapkan ayam suir, tauge, kol di iris , jeruk nipis , dan mi shirataki nya.', 'Kalo mau pake sambel, tinggal haluskan rawit dan juga air kuah sotonya.', 'Selesai.']",508 kj,"1,91g","10,64g","16,25g",121 kkal,"0,408g",0g,"0,639g","0,591g",24mg,"5,2g","4,27g",658mg,213mg
Oseng Buncis Tempe,['Hidangan Utama'],2 porsi,5 menit,5 menit,"['16 gram cabai merah atau rawit', '1/4 sdt garam', '1 sdm saus tiram', '90 gram buncis', '3 siung bawang putih', '3 sedang bawang merah', '62 gram tempe goreng', '1 sdm kecap manis']","['Tempe yang sudah digoreng dipotong kotak-kotak,Buncis potong sesuai selera.', 'Tumis bamer , baput & cabe hingga harum.', 'Masukan tempe yang sudah digoreng & buncis.', 'Tambahkan kecap, saus tiram, garam , dan air seckupnya.\nLalu tunggu hingga matang & air menyusut.']",889 kj,"6,32g","7,92g","36,32g",212 kkal,"0,974g",0,"2,348g","2,314g",0mg,"6,3g","14,19g",799mg,636mg
Nasi Goreng Oatmeal,['Hidangan Utama'],1 porsi,15 menit,20 menit,"['1 sdm margarin', '1/2 sdt garam', '50 gram buncis', '50 gram wortel', '1/2 daun bawang', '100 ml air', '1 1/2 sdt bawang putih cincang', '4 sendok makan instant oatmeal', '1/2 takaran lada putih bubuk', '1 sdm kecap manis']","['Cincang bawang putih dan potong sayuran yang telah dicuci.', 'Panaskan teflon lalu masukan margarin hingga mencair.', 'Tumis baput cincang hingga harum.', 'Masukan air, disusul dengan sayuran.', 'Tumis sayuran hingga setengah matang lalu masukan daun bawang dan oatmeal.', 'Terakhir masukan bumbu seperti kecap,garam,dan lada.']",1406 kj,"12,31g","7,7g","53,09g",336 kkal,"1,991g",0g,"4,707g","4,416g",0mg,"7,1g","15,92g",1656mg,419mg
Nasgor Merah,['Hidangan Utama'],1 porsi,5 menit,10 menit,"['78 gram telur', '130 gram nasi merah', '10 gram cabai merah atau rawit', '10 gram bawang putih', '10 gram bawang merah', '1 ml minyak goreng', '40 gram sawi hijau']","['Potong bawang cabe lalu tumis masukan telur hingga matang masukan sawi hingga layu masukan nasi dan tambahkan garam.', 'Angkat nasgor jika sudah matang.', 'Sajikan d piring.']",1347 kj,"11,69g","15,67g","41,06g",322 kkal,"3,358g",0,"2,747g","3,769g",330mg,"5,7g","3,09g",531mg,517mg
Mentai Shirataki,['Hidangan Utama'],2 porsi,10 menit,10 menit,"['3 tbsps sesame oil', '3 sdm mayonnaise', '100 g mie kering', '18 ml saus sambal', '64 g crab stick']","['Rebus mie shirataki.', 'Campurkan mie shirataki dengan sejumput garam dan minyak wijen.', 'Tata di ramekin, tambahkan crab stick rebus, dan beri mentai.', 'Bakar menggunakan gas torch.']",1471 kj,"27,76g","2,2g","24,27g",352 kkal,"3,978g",0g,"12,476g","10,084g",6mg,2g,"4,91g",552mg,2mg
Sundubu jigae ala Indonesia,"['Sup', 'Hidangan Utama']",1 porsi,5 menit,20 menit,"['1 sedang telur', '1 daun bawang', '500 gram air', '100 gram tahu', '1 porsi sambal matah']","['Masak air hingga mendidih', 'Masukkan tahu sekitar 5 potong', 'Masukkan garam, merica, dan bubuk bawang putih secukupnya, boleh ditambahkan bawang merah', 'Setelah dimasak sekitar 5 menit, masukkan telur', 'Masak sampai telur dan tahu matang', 'Terakhir beri daun bawang yang sudah diiris-iris']",912 kj,"11,13g","15,29g","16,82g",218 kkal,"3,266g",0,"2,321g","4,262g",187mg,2g,"4,78g",348mg,380mg
Ayam Crispy Oatmil,['Lauk Pauk'],2 porsi,5 menit,5 menit,"['100 gram dada ayam', '1 besar telur', '1 sdm bubuk cabai', '1 sdt, tumbuk oregano', '1 sdt garam', '1 sdm olive oil', '2 sdm oat']","['Slice dada ayam ketebalan sesuai selera lalu bumbui dada ayam dgn garam dan bubuk cabai (optional).', 'Kocok telur.', 'Tuang quacker oat ke dalam mangkuk lalu bumbui lg dgn bubuk cabai, garlic powder, dan oregano.', 'Tuang sedikit olive oil ke teflon klo bisa (anti lengket) yg sudah dipanaskan.', 'Lumuri dada ayam dengan telur lalu balurkan ke oat yg sudah dibumbui. Panggang di dalam teflon dgn api sedang.', 'Angkat ayam jika sudah kecoklatan.']",1190 kj,"16,06g","20,48g","14,82g",284 kkal,"3,996g",0g,"1,49g","2,595g",148mg,"1,7g","0,5g",1432mg,242mg
Sup Bening,['Sup'],2 porsi,10 menit,15 menit,"['1/4 scallops', '1 besar boiled egg', '1 medium boiled potato', '1/2 kecil cooked carrots', '1/4 mangkok, dicincang broccoli', '1/4 ons cabbage (with salt, drained, cooked, boiled)', '1/2 sdt minced garlic']","['Potong semua bahan.', 'Rebus air hingga mendidih lalu masukkan bawang merah dan bawang putih.', 'Setelah 3 menit masukkan kentang dan wortel.', 'Setelah wortel dan kentang setengah matang masukkan brokoli dan kol.', 'Taburkan sedikit garam. Menyajikan.']",676 kj,"5,52g","5,86g","22,7g",162 kkal,"1,36g",0,"1,214g","2,278g",106mg,"2,5g","1,86g",372mg,484mg
Roti Tawar,['Roti & Produk Panggang'],8 porsi,1 jam,30 menit,"['1 besar telur', '3 1/2 gram ragi', '1 sejumput garam', '120 ml air', '20 gram gula bubuk', '180 gram tepung terigu putih (semua keperluan)', '30 g susu bubuk full cream', '20 gram margarin']","['Campurkan semua bahan kecuali margarin dan garam.', 'Setelah bahan tercampur, masukan margarin dan aduk hingga semua bahan tercampur dan adonan menjadi kalis.', 'Istirahatkan adonan selama 1 jam, biarkan hingga adonan mengembang 2 kali lipat dari ukuran semula.', 'Panggan adonan menggunakan oven selama 30 menit dengan suhu 180°C.', 'Setelah roti matang, oleskan margarin pada roti selagi hangat.', 'Roti siap disajikan.']",561 kj,"3,34g","4,17g","21,25g",134 kkal,"0,795g",0,"0,796g","0,778g",26mg,"1,4g","2,56g",61mg,90mg
